Logs
NovoProp:Marcelo,778847931,778847931@gmail.com,Vale da Laranja
NovoProp:Luisa,896191466,896191466@gmail.com,Pedras da Rainha
NovoProp:Crispim,495144846,495144846@gmail.com,Lagoa Parceira
NovoProp:Benicio,888724442,888724442@gmail.com,Arribao
NovoProp:Luamar,352612181,352612181@gmail.com,Pardelinha
NovoProp:Agnes,769631646,769631646@gmail.com,Sabugueiro
NovoProp:Castelino,155765748,155765748@gmail.com,Carvalhinho
NovoProp:Alberto,976912136,976912136@gmail.com,Nova
NovoProp:Leonora,412183328,412183328@gmail.com,Quinta das Assumadas
NovoProp:Abdul,957498851,957498851@gmail.com,Quinta dos Lameirinhos
NovoProp:Tome,541563657,541563657@gmail.com,Labruja
NovoProp:Durval,112317976,112317976@gmail.com,Motes
NovoProp:Ilsa,189122717,189122717@gmail.com,Valongo
NovoProp:Claudemiro,578851563,578851563@gmail.com,Queixada da Raposa
NovoProp:Delcio,755613831,755613831@gmail.com,Casal das Adegas
NovoProp:Carmen,226115866,226115866@gmail.com,Monte dos Calvinos
NovoProp:Eline,339119844,339119844@gmail.com,Quinta do Gago
NovoProp:Heriberta,334382238,334382238@gmail.com,Escadas do Pilar
NovoProp:Eloi,133347881,133347881@gmail.com,Benzendros
NovoProp:Cilio,971332479,971332479@gmail.com,Espinhosa do Douro
NovoProp:Iasmina,681723728,681723728@gmail.com,Montes
NovoProp:Julinda,518378256,518378256@gmail.com,Recamonde
NovoProp:Angelina,536629141,536629141@gmail.com,Cortico
NovoProp:Osvaldo,825676296,825676296@gmail.com,Infesta
NovoProp:Solano,733731173,733731173@gmail.com,Catela
NovoProp:Lauriano,317484659,317484659@gmail.com,Casal do Vale
NovoProp:Leonia,943199875,943199875@gmail.com,Torre Natal
NovoProp:Jamim,698467478,698467478@gmail.com,Coutada de Baixo
NovoProp:Eurica,369647324,369647324@gmail.com,Lomba dos Ferreiros
NovoProp:Lyonce,423775115,423775115@gmail.com,Monte do Ribeiro
NovoProp:Adruzilo,617229431,617229431@gmail.com,Casal da Fontinha
NovoProp:Vitoria,367641426,367641426@gmail.com,Quinta da Chainha
NovoProp:Rosalinda,832596969,832596969@gmail.com,Golaes
NovoProp:Adilio,844832631,844832631@gmail.com,Ceira dos Vales
NovoProp:Socrates,324566689,324566689@gmail.com,Vale do Paraiso
NovoProp:Vanessa,879671981,879671981@gmail.com,Aguieiras
NovoProp:Estefana,623357872,623357872@gmail.com,Casais das Campainhas
NovoProp:FilipeouFelipe,394716559,394716559@gmail.com,Gasparoes
NovoProp:Circe,786772179,786772179@gmail.com,Monte do Arneirinho
NovoProp:Celsa,614995952,614995952@gmail.com,Vale de Couvinho
NovoProp:Aurete,722667412,722667412@gmail.com,Sao Pedro Gafanhoeira
NovoProp:Evelina,757594927,757594927@gmail.com,Sarabagos
NovoProp:Sacramento,967164373,967164373@gmail.com,Quinta do Reforteleiro
NovoProp:Rosalina,963896725,963896725@gmail.com,Azambujeira dos Carros
NovoProp:Indalecio,922133611,922133611@gmail.com,Mosqueiro
NovoProp:Bernardino,439239234,439239234@gmail.com,Albergaria-A-Velha
NovoProp:Glenda,687552874,687552874@gmail.com,Vila Pequena
NovoProp:Ermeria,275258772,275258772@gmail.com,Froia
NovoProp:Isaque,597793987,597793987@gmail.com,Camela
NovoProp:Emilia,582452689,582452689@gmail.com,Reguengo de Alem
NovoProp:Gail,117446544,117446544@gmail.com,Guilhamil
NovoProp:Armindo,236198638,236198638@gmail.com,Arco da Geia - Arcozelo
NovoProp:Gilda,796175144,796175144@gmail.com,Mocaes
NovoProp:Adalberto,694742647,694742647@gmail.com,Monte Trigo
NovoProp:Genesia,923376547,923376547@gmail.com,Canles
NovoProp:Alegria,268516611,268516611@gmail.com,Alto do Poco
NovoProp:Brena,293221962,293221962@gmail.com,Val
NovoProp:Claudiano,934224821,934224821@gmail.com,Urmar
NovoProp:Vinicio,235455986,235455986@gmail.com,Vale Avessada de Cima
NovoProp:Alexina,793655651,793655651@gmail.com,Seirraos
NovoProp:Loide,849813241,849813241@gmail.com,Fataca
NovoProp:Amarilio,528433484,528433484@gmail.com,Aido Agulhas
NovoProp:Alvarim,458885327,458885327@gmail.com,Maca
NovoProp:Digno,699519931,699519931@gmail.com,Regato dos Mendes
NovoProp:Orlando,531337319,531337319@gmail.com,Oriz (Santa Marinha)
NovoProp:Tomas,673239954,673239954@gmail.com,Vale das Custas
NovoProp:Banduino,141971569,141971569@gmail.com,Fazenda
NovoProp:India,913718667,913718667@gmail.com,Reguengo da Parada
NovoProp:Anabel,623376251,623376251@gmail.com,Nogueira de Cima
NovoProp:Aristides,339691132,339691132@gmail.com,Zurrigueira
NovoProp:Vitorio,397737235,397737235@gmail.com,Alcarias Baixas
NovoProp:Cremilda,582473363,582473363@gmail.com,Nave de Haver
NovoProp:Josefa,947756989,947756989@gmail.com,Nossa Senhora da Cabeca
NovoProp:Lolia,317467515,317467515@gmail.com,Colinas Verdes
NovoProp:Micael,391526913,391526913@gmail.com,Quinta da Broa
NovoProp:Evangelino,691882864,691882864@gmail.com,A-dos-Ferreiros
NovoProp:Armelim,455896154,455896154@gmail.com,Urval
NovoProp:Adilia,764255967,764255967@gmail.com,Monte dos Bogalhoes
NovoProp:Leo,788782151,788782151@gmail.com,Valcanosa
NovoProp:Artemisia,246488522,246488522@gmail.com,Monte da Torrejana
NovoProp:Calila,786869441,786869441@gmail.com,Quinta do Alto da Aveleira
NovoProp:Aurelia,366655187,366655187@gmail.com,Estorninhos
NovoProp:Canto,487763655,487763655@gmail.com,Casal de Sao Jose
NovoProp:Iberina,698952673,698952673@gmail.com,Lamela
NovoProp:Jesse,412395837,412395837@gmail.com,Casal do Sol
NovoProp:Eduino,298481683,298481683@gmail.com,Pitaranha
NovoProp:Alipio,579817929,579817929@gmail.com,Sandoeira
NovoProp:Diomar,738537873,738537873@gmail.com,Chedas
NovoProp:Giraldina,753786287,753786287@gmail.com,Nave
NovoProp:Adelaide,698356979,698356979@gmail.com,Vale do Gueiro
NovoProp:Eleia,557422455,557422455@gmail.com,Alqueidao do Rei
NovoProp:Juventino,851271581,851271581@gmail.com,Quinta da Mourata
NovoProp:Bruce,434382783,434382783@gmail.com,Serrascosa
NovoProp:Djalma,123552229,123552229@gmail.com,a-dos-Carneiros
NovoProp:Henrique,459267443,459267443@gmail.com,Corte Joao Velho
NovoProp:atina,266383988,266383988@gmail.com,Quintas da Lageosa
NovoProp:Ulfrido,444698233,444698233@gmail.com,Bertelhe
NovoProp:Idalina,924238396,924238396@gmail.com,Monte Vales
NovoProp:Alexandro,237898953,237898953@gmail.com,Estreitinha
NovoProp:Cleia,733837741,733837741@gmail.com,Eucaliptos
NovoProp:Herve,669937293,669937293@gmail.com,Quinta da Ameosa
